term,statistic,factor,p.value,fdr,fdr_bool
targetPLK,-7.809482435529535,factor1,6.460177095999321e-15,6.201770012159348e-13,TRUE
targetAurora Kinase,-7.328505934489698,factor1,2.5510574857630633e-13,1.2245075931662704e-11,TRUE
targetCDK,-6.463123354238614,factor1,1.084862775133527e-10,3.4715608804272865e-9,TRUE
targetFAK,-4.115115770598581,factor1,3.908152343409436e-5,5.756453609185308e-4,TRUE
targetMEK,-3.7555163758373586,factor1,1.7419495563151472e-4,0.001520246885511401,TRUE
targetmTOR,3.6787008586446523,factor1,2.3594265850433325e-4,0.0017423457858781533,TRUE
targetERK,-2.5835640389056973,factor1,0.009795862633081203,0.04702014063878977,TRUE
targetGSK-3,-2.291913489824269,factor1,0.021936134098781104,0.08423475493931944,FALSE
targetPKC,-2.236677974221048,factor1,0.025334464882545496,0.09354263956632183,FALSE
targetJNK,-2.041455282269014,factor1,0.04123788603282067,0.13167957600005517,FALSE
targetc-Met,-2.002420118014255,factor1,0.0452727946036994,0.1317026752107619,FALSE
targetATM/ATR,-1.8818281967035653,factor1,0.059895122513758906,0.15567366719960038,FALSE
targetTGF-beta/Smad,1.7266541773742965,factor1,0.0842678656907145,0.18144206631554993,FALSE
targetFLT3,-1.6056006875996898,factor1,0.10840060350921435,0.2168012070184287,FALSE
targetJAK,-1.5608821165116793,factor1,0.11859058131445559,0.23234073073852524,FALSE
targetp38 MAPK,1.4069656141381262,factor1,0.15947590074481852,0.3061937294300515,FALSE
targetVEGFR,1.3823428436218084,factor1,0.16690451875238457,0.31183235096359124,FALSE
targetROCK,1.1610589664214848,factor1,0.2456520889702838,0.39970509391774994,FALSE
targetBcr-Abl,-1.0922304546394945,factor1,0.2747642601384479,0.43962281622151667,FALSE
targetGamma-secretase,1.0793383329480044,factor1,0.28046902496307313,0.44139387535172164,FALSE
targetHedgehog/Smoothened,0.9817072015499297,factor1,0.3262733974671095,0.4818807101052694,FALSE
targetPI3K,-0.8504198843454597,factor1,0.39511678772231684,0.5418744517334632,FALSE
targetWnt/beta-catenin,-0.4322404327413052,factor1,0.665578166215862,0.8000935497914352,FALSE
targetRaf,0.42462614840974683,factor1,0.6711204909195684,0.8000935497914352,FALSE
targetS6 Kinase,-0.34104879263673765,factor1,0.7330756837985011,0.8478947668030855,FALSE
targetSrc,0.3170845497836045,factor1,0.7511876090282943,0.8484001231378382,FALSE
targetPDGFR,-0.25921735232079557,factor1,0.7954741216707181,0.8777645480504476,FALSE
targetIGF-1R,0.19159018683667484,factor1,0.8480680256422165,0.9069697303280215,FALSE
targetAMPK,-0.18194062403045863,factor1,0.8556338697251087,0.9069697303280215,FALSE
targetSyk,-0.17672129738799677,factor1,0.8597317235401037,0.9069697303280215,FALSE
targetBTK,0.1090727043204854,factor1,0.9131475226554696,0.9426038943540331,FALSE
targetEGFR,-0.025821288465465542,factor1,0.9794005169851596,0.9794005169851596,FALSE
