id,factor2
FN1,1.3360138792498497
PLA2G2A,1.1709299783362515
HDGFL3,1.0792217404193827
RAB34,1.0535008294295778
CPVL,0.9938399679434731
IGDCC4,0.9795275644108847
PEG10,0.9531013902613344
PNMA8A,0.8909225057919876
GSDME,0.8708961664711891
APOA2,0.8566748537505935
TM4SF18,0.8549107866389094
F5,0.8348318087856252
SRPX,0.8345152189441879
MLLT11,0.8322350817878408
GCNT2,0.8217996434651667
ZNF334,0.8009698237579599
COL18A1,0.7931418873235653
TUB,0.7929866425465693
LNCAROD,0.7878814266102484
TRIM71,0.7843089863527176
IRX3,0.7784230901271628
ANKRD1,0.7742822860416612
SGCE,0.7719456729995495
AMY1A,0.7334741776195898
NAALAD2,0.7247408260407479
PLK2,0.720582752613772
GPR87,0.7164033933814045
IGFBP7,0.7160882422608679
IGFL2,0.71545613882144
ITGB2-AS1,0.7130695983098625
GAMT,0.709055400099776
SLC1A3,0.7054275673636505
OBSL1,0.7051319793007725
ZBED2,0.6965804462054833
DKK1,0.6773405332622651
NFKBIZ,0.6763927309054013
RAI14,0.6757893569420325
ASB4,0.6757626366100116
PRKAA2,0.6754153686940364
SATB1,0.6714784260965723
FZD2,0.6698584726707597
BEX2,0.6653654459022535
COL27A1,0.6645429937489199
MEGF6,0.6638147109946463
PRSS1,0.6591362030442505
DKK3,0.6585978870504234
MYO5A,0.6548763301343121
SLC44A5,0.6525738346495928
CCDC88A,0.6515515495449398
CYP2E1,0.6502035245369896
ABCC2,0.6483480964916403
HECW2-AS1,0.6456576664206711
GJA3,0.6429771882524548
DTX3,0.6417782888384025
EMP3,0.6412103836432382
TTC30A,0.6412014634172527
UST,0.6411612430288676
F2R,0.6327734649378125
EPHB6,0.6278503821695822
LOXL1-AS1,0.6266970180911183
OLFML3,0.6258836541470371
MED6,0.6254417799242322
KRT15,0.6253484162089782
PCYT1B,0.6247582118770351
GIHCG,0.6246299400067002
RPAIN,0.6140239136028104
HERC5,0.6128940799848716
KRTAP2-3,0.6119242496286473
NANOS1,0.6118127909198431
GNAI1,0.6116397060876012
SMARCA1,0.6114564365316469
C20orf194,0.610767228839872
VGLL1,0.6095065461598607
CCN1,0.6092278522976394
CYP1B1,0.6071655900919225
UBASH3B,0.6012637885357105
PROS1,0.6002308136729807
SYTL1,0.6001280240764606
CAP2,0.5971956842042981
TNFRSF19,0.5954775543459956
NME5,0.5952460516067909
FUS,0.595235302766529
PABPC1,0.5940571622031839
RBMS1,0.5898978602678143
CHST15,0.5864060180979148
MBNL3,0.5858453234035295
VTCN1,0.5846075384030374
NRG1,0.5843834551328526
L1CAM,0.584240822376163
TRPC1,0.5836304479792602
TRIM6,0.5783257532429044
FRAS1,0.5741582169459511
CAVIN2,0.5739322443452152
FBXO2,0.5728536017394781
NPIPB15,0.5724084230919783
TLCD4,0.5719503359059459
FOXA1,0.571716747773578
PPP1R9A,0.5690477487631064
EIF1,0.5670526010531467
TMPRSS11E,0.5648028864991919
ATP8B3,0.5646395743021692
CCN2,0.56434314815478
CALB2,0.5641832252948854
FERMT2,0.5638230106529205
NPC1L1,0.5629385503506363
HOMER3,0.5629302109192252
RNF157-AS1,0.5627696222312569
KIRREL1,0.5609319873100737
ARL4C,0.5603350041058672
FZD7,0.5574958993750182
PELI2,0.5571312408252254
TGFB1,0.5559790970001791
WIPF3,0.5549696573957209
RGL3,0.5547003371311892
SPATA20,0.5546544695830333
PRKACB,0.5520259955408988
APOBEC3C,0.551779858347888
MYCN,0.5479880652965516
PLSCR4,0.5469320898831478
SOSTDC1,0.5440960399376901
FBXO17,0.5431390251398589
CTHRC1,0.5428972684869126
RFLNB,0.5427530284012275
SOX6,0.5421989466113951
GJC1,0.5408389740941273
KITLG,0.5400827565818345
UCHL1,0.5382795551105533
CD109,0.5376873498267973
MIR205HG,0.5353153455050638
CCDC198,0.5352064502293993
SLC4A4,0.5330963812310139
KLHL29,0.5310745981799552
CALD1,0.5310039460635633
KATNAL1,0.5298141962120837
ANGPT1,0.5297690883286263
RAB31,0.5295402904296257
HAS2,0.5289393486451062
COL1A1,0.5285998265902156
TYRO3,0.5282652824714272
CFAP300,0.5269775040493615
C1GALT1C1L,0.5269080101422776
FRMD4A,0.5268192304876351
GULP1,0.5259312444091366
RRAGD,0.525433165744027
NAP1L2,0.5239462270701698
HEG1,0.5225340516121596
VCAN,0.5220566247175021
FBLN1,0.5204010286689342
C4orf47,0.5190848983955716
ZNF853,0.5188977199876562
PRKCH,0.5186326126748156
CSGALNACT1,0.5165103901868047
PTPN20,0.516374994426367
SLC20A1,0.5135728485286494
FAM133A,0.5131054184328778
PTPN14,0.5127751354903763
BICC1,0.5107844781171832
GPX8,0.5106753219973288
WSB1,0.5101894487459985
SLC4A8,0.5093640537773867
TIMP2,0.5079471031309648
ADCY7,0.5069350243808023
GLYATL1,0.5055855687541352
PIFO,0.5017695347656738
GREB1L,0.5009195845793465
RAB3B,0.4997366332035168
TBC1D9,0.49876125551836964
TTC28,0.498258186506883
GASK1B,0.496529110924862
NOC2L,0.4952212261857329
ZG16B,0.49295970061844846
CHROMR,0.48975088494572905
CLDN11,0.4891416470477456
UCP2,0.48909393747535196
TUBA1A,0.4882151935975297
NCAM1,0.48688943818271707
L3MBTL1,0.48604964099259484
MAP3K7CL,0.48499702203379946
FOLR1,0.4845260839014372
CECR2,0.48383473300177365
PROM2,0.48341454485627383
TSPAN4,0.4830717964805772
NABP1,0.48255696263640546
VSIG10L,0.4819731362544186
LPAR3,0.48167735230524117
KLHDC8B,0.48133038106364245
PKP4,0.48077404619886205
SERPINF1,0.48069180367376385
POGZ,0.48038408499982366
DMRTA2,0.4795038433556516
