id,factor1,factor2,factor3,line,drug,auroc
D004,1.5194838615952855,-0.4744639038326651,0.1259200367618602,D004T01,BMS-536924,0.9596742722716917
D004,1.5194838615952855,-0.4744639038326651,0.1259200367618602,D004T01,OSI-420,0.7594155310355686
D004,1.5194838615952855,-0.4744639038326651,0.1259200367618602,D004T01,Trametinib (GSK1120212),0.9549898797532412
D007,-0.6571945703523577,-0.41060826315665333,-1.1394372007844122,D007T01,BMS-536924,0.7622797817279471
D007,-0.6571945703523577,-0.41060826315665333,-1.1394372007844122,D007T01,OSI-420,0.9399071773711146
D007,-0.6571945703523577,-0.41060826315665333,-1.1394372007844122,D007T01,Trametinib (GSK1120212),0.9085944175692543
D010,0.3652715331075265,-0.5836114417713916,-0.6392896407427462,D010T01,BMS-536924,0.8511419110562706
D010,0.3652715331075265,-0.5836114417713916,-0.6392896407427462,D010T01,OSI-420,0.88360182255187
D010,0.3652715331075265,-0.5836114417713916,-0.6392896407427462,D010T01,Trametinib (GSK1120212),0.9523989990993401
D013,-0.4450922791098334,0.910733546102585,-0.5742582848668953,D013T01,BMS-536924,0.9103565774041973
D013,-0.4450922791098334,0.910733546102585,-0.5742582848668953,D013T01,OSI-420,0.9290864692483242
D013,-0.4450922791098334,0.910733546102585,-0.5742582848668953,D013T01,Trametinib (GSK1120212),0.8559349572000998
D018,0.5517030369745017,2.919397720788078,0.018169456948199998,D018T01,BMS-536924,0.7652809070210419
D018,0.5517030369745017,2.919397720788078,0.018169456948199998,D018T01,OSI-420,0.9008654968067364
D018,0.5517030369745017,2.919397720788078,0.018169456948199998,D018T01,Trametinib (GSK1120212),0.935481380363977
D019,0.562964937761586,-0.4044945572744397,-0.32031630647235265,D019T01,BMS-536924,0.8649375700791893
D019,0.562964937761586,-0.4044945572744397,-0.32031630647235265,D019T01,OSI-420,0.7127780655422666
D019,0.562964937761586,-0.4044945572744397,-0.32031630647235265,D019T01,Trametinib (GSK1120212),0.9903874470152516
D020,-0.4456557226133918,-0.6972356423903148,1.4528081740387817,D020T01,BMS-536924,0.8800301292306596
D020,-0.4456557226133918,-0.6972356423903148,1.4528081740387817,D020T01,OSI-420,0.9741253545220427
D020,-0.4456557226133918,-0.6972356423903148,1.4528081740387817,D020T01,Trametinib (GSK1120212),0.9630508691059374
D022,-1.4476923669942896,-0.31152384972507463,1.7282579952079853,D022T01,BMS-536924,0.843716438369477
D022,-1.4476923669942896,-0.31152384972507463,1.7282579952079853,D022T01,OSI-420,0.9397591809369075
D022,-1.4476923669942896,-0.31152384972507463,1.7282579952079853,D022T01,Trametinib (GSK1120212),0.8908371450006074
D027,-1.3508301654052182,0.10971596220991459,-0.49681156175691515,D027T01,BMS-536924,0.8419179701413617
D027,-1.3508301654052182,0.10971596220991459,-0.49681156175691515,D027T01,OSI-420,0.9126246211503325
D027,-1.3508301654052182,0.10971596220991459,-0.49681156175691515,D027T01,Trametinib (GSK1120212),0.837513457116362
D030,-0.6470867880107228,-0.42980452179470563,-0.7578137577701389,D030T01,BMS-536924,0.8879102854305942
D030,-0.6470867880107228,-0.42980452179470563,-0.7578137577701389,D030T01,OSI-420,0.9277070350659236
D030,-0.6470867880107228,-0.42980452179470563,-0.7578137577701389,D030T01,Trametinib (GSK1120212),0.958636965644521
D046,1.990379503198896,-0.6078297961065671,0.5923778963074284,D046T01,BMS-536924,0.9805954973074016
D046,1.990379503198896,-0.6078297961065671,0.5923778963074284,D046T01,OSI-420,0.6615431627863642
D046,1.990379503198896,-0.6078297961065671,0.5923778963074284,D046T01,Trametinib (GSK1120212),0.9806491155801703
