id,factor3
FZD10,1.8543108904233006
MAEL,1.3270962191497315
SLFN13,1.2227807157987338
NXF2,1.2190796906163939
TEX15,1.1884636733827851
ZNF415,1.1587896357687186
HUNK,1.1242540205994827
POU6F2-AS2,1.092944808260536
GABRR1,1.0888360959083752
ADH1C,1.0317260665278503
UCHL1,1.0257952774719727
PROM2,1.0179384552113064
GZMB,1.0043259104911673
ACSL6,0.9961994319252752
PCDHB16,0.9896524452791193
ZNF793,0.9867059731629177
ZSCAN18,0.9586022072483098
CT83,0.9573850735307947
SPIRE2,0.9478634781023971
RGN,0.9264419368805773
C12orf56,0.9213866542474708
FAM155A,0.9088297135001747
RNF182,0.9087883426344909
TSPYL5,0.8873142637698112
PCDHB4,0.8865927798450967
PCDH8,0.8672665688101728
RASA3,0.8500293753038812
MAGEE1,0.8419238575777934
DPEP1,0.8401059738966785
METTL7A,0.8360773520439421
ZNF492,0.8349258030392361
CYP2B6,0.8337856936481984
ZNF506,0.8229092308740599
PCDHA9,0.818565944869193
PAH,0.816458624381227
ZNF793-AS1,0.8148035406829863
ZNF331,0.8074130985195788
TMEM63C,0.8028856980972613
GLDC,0.7969967981428041
ELF5,0.7939189035837584
FAM3B,0.7922484588293285
ZNF439,0.7906764651384469
ZNF43,0.7824569277893302
ZNF813,0.7824149447360796
UGT1A7,0.7707986454815072
HSD3B1,0.7698673581049424
SPINK1,0.7670074792977508
CARD16,0.760223151178205
ZNF304,0.7565687674190248
LINC00540,0.7560893369300813
SCG3,0.7511234538789296
COX10,0.7447118183398229
DNAH10,0.7390869423699794
LINC01694,0.7361900940230158
ESRRG,0.735181556851704
FOLR1,0.7339693659437834
SNAP25,0.7335448898814427
PAX7,0.7324609737938079
FUT10,0.7299642070077359
CES1,0.72547431340148
PCDH20,0.7220142102059904
ZNF625,0.7211009697092621
RIMS2,0.7151569091371207
SLFN12,0.7087567453251514
C10orf82,0.6998605340261578
DEF6,0.6963396838370516
ZNF880,0.6961149064320132
AXDND1,0.6944965458237814
CHGB,0.6918643525501139
PHYHIPL,0.6916037953211062
PCDHB10,0.6910672735309926
ZNF354C,0.687700158469988
SLC35G2,0.6875017781353744
NRN1,0.6871718091271215
SMTNL2,0.6843075543608578
FOXG1,0.6837637142669328
ZNF85,0.6799370179348587
CDHR1,0.6797506634714242
ARHGAP4,0.6778382337621807
CADM1,0.6777538464194266
SLC38A4,0.6776092593803249
GBGT1,0.6699756061382843
ERP27,0.6678479083265013
VAV3,0.6640157743451389
TTC9,0.6624991271213416
BISPR,0.6588087625160999
ZNF347,0.6583429855186472
XG,0.6578089497959204
AKAIN1,0.6561865514492434
LINC02562,0.6535918247234916
ISX,0.6516488858960696
LRRC2,0.6513535705943587
PLAG1,0.6509806961044162
NRXN3,0.6433803701792541
ZNF606,0.6363218491576105
FAM13C,0.6338108020368142
RNF217,0.6331679294092257
ZNF594,0.6307842406406794
SGK2,0.6262284912040713
INPP5D,0.6226889771755814
TSPOAP1,0.6207548486865886
SLC39A2,0.6197145853242675
ZNF736,0.6182730846463947
CYP26B1,0.6173578204706328
STON2,0.6172760797312388
PTPRD,0.6164031093486259
IFITM3,0.6157221880516921
ARL11,0.6137533113590649
SLC16A10,0.6107797701268174
SBSPON,0.6103518119695401
ZNF256,0.6102759213854796
