# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL)
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.966569767442,0.807445442875,0.516192345437,0.694152046784,0.915450121655,0.958346189448,0.620813397129,0.530410183876,0.721144024515,0.69621749409,0.644591611479,0.80919395466,0.842840512224,0.760471204188,0.849397590361
D007T01,0.795058139535,0.974005134788,0.512266928361,0.740350877193,0.684914841849,0.723850663376,0.6004784689,0.500707213579,0.567926455567,0.625886524823,0.629139072848,0.765743073048,0.735739231665,0.591623036649,0.639759036145
D010T01,0.789244186047,0.748716302953,0.958783120707,0.731578947368,0.708637469586,0.698549830299,0.648325358852,0.741159830269,0.693564862104,0.663711583924,0.721854304636,0.775188916877,0.806752037253,0.774869109948,0.818072289157
D013T01,0.811046511628,0.88703465982,0.708537782139,0.945029239766,0.824817518248,0.812403579142,0.685406698565,0.61810466761,0.574055158325,0.668439716312,0.744481236203,0.760075566751,0.742724097788,0.675392670157,0.750602409639
D018T01,0.850290697674,0.596919127086,0.508341511286,0.725730994152,0.971411192214,0.958346189448,0.715311004785,0.540311173975,0.728294177732,0.686761229314,0.64238410596,0.812972292191,0.795110593714,0.760471204188,0.827710843373
D019T01,0.9375,0.735237483954,0.505397448479,0.527485380117,0.885644768856,0.990126504165,0.623205741627,0.523338048091,0.757916241062,0.655437352246,0.623068432671,0.773299748111,0.790454016298,0.717277486911,0.733734939759
D020T01,0.774709302326,0.629011553273,0.582924435721,0.730409356725,0.790145985401,0.782474544894,0.967703349282,0.698727015559,0.801838610827,0.817966903073,0.780905077263,0.950881612091,0.753201396973,0.815445026178,0.859036144578
D020T02,0.863372093023,0.709884467266,0.679097154073,0.670175438596,0.814476885645,0.855291576674,0.855263157895,0.974540311174,0.910112359551,0.777777777778,0.733443708609,0.872795969773,0.91036088475,0.946335078534,0.926506024096
D021T01,0.815406976744,0.568035943517,0.517173699706,0.570760233918,0.671532846715,0.831842024067,0.828947368421,0.613861386139,0.992849846782,0.707446808511,0.58940397351,0.764483627204,0.628637951106,0.683246073298,0.666265060241
D022T01,0.922965116279,0.794929396662,0.673209028459,0.830994152047,0.835158150852,0.885220610923,0.91985645933,0.799151343706,0.763023493361,0.921985815603,0.811258278146,0.950251889169,0.776484284051,0.846858638743,0.840963855422
D027T01,0.864825581395,0.765725288832,0.765456329735,0.842105263158,0.852798053528,0.855291576674,0.874401913876,0.806223479491,0.729315628192,0.837470449173,0.932671081678,0.942065491184,0.741559953434,0.856020942408,0.801204819277
D030T01,0.744186046512,0.671694480103,0.576054955839,0.782456140351,0.826642335766,0.766121567417,0.946172248804,0.799151343706,0.85393258427,0.832151300236,0.76821192053,0.98362720403,0.837019790454,0.88612565445,0.922891566265
D046T01,0.886627906977,0.813863928113,0.511285574092,0.772514619883,0.796228710462,0.865165072508,0.75956937799,0.551626591231,0.709908069459,0.687943262411,0.579470198675,0.772670025189,0.965075669383,0.850785340314,0.967469879518
D054T01,0.914244186047,0.796854942234,0.646712463199,0.69649122807,0.853406326034,0.859919777846,0.873205741627,0.906647807638,0.900919305414,0.815011820331,0.728476821192,0.897355163728,0.983701979045,0.985602094241,0.98313253012
D055T01,0.872093023256,0.604621309371,0.502453385672,0.586549707602,0.87895377129,0.896019746992,0.661483253589,0.598302687412,0.792645556691,0.696808510638,0.629139072848,0.807934508816,0.935972060536,0.861256544503,0.984337349398
