,AUC_Mean,AUC_Std,Distance
Avagacestat (BMS-708163),0.5827429038201768,0.05004161503540929,1.8998752704770265
Motesanib Diphosphate (AMG-706),0.6547479813031896,0.058451573675879734,2.6450028484270067
AZ 960,0.6132619853679202,0.043345880969127726,2.462201841875526
SL-327,0.5934344539693697,0.06636266555993396,1.2782849979955497
SU11274,0.5729932387782006,0.04790535703969184,1.164930414050605
Vatalanib (PTK787) 2HCl,0.6504493302724178,0.06155893521771379,2.9004354941943675
WHI-P154,0.5388444818938036,0.04745010581416975,0.7095732745312269
IWR-1-endo,0.6139879884415632,0.03957194622354241,1.2402522500250814
AT9283,0.9616309785402131,0.010654023516693497,15.443300686101969
Lenvatinib (E7080),0.5890297309564657,0.07264093060484049,2.162565691170202
K02288,0.5593805832436656,0.0434675660841076,1.287642440609498
AG-1024,0.7624230745784442,0.05144784998567143,2.3557991712319963
GNF-5,0.5617694563031371,0.05703082317378536,1.8304781276056603
BX-912,0.8757445196420459,0.02385196730092245,9.480306227600604
VX-11e,0.7696007424596178,0.05048587027415067,3.631685073914872
DMSO,0.5080286138456181,0.004503624126773723,0.0
Quizartinib (AC220),0.8553247647605845,0.03213663725894073,8.902167431930284
LJI308,0.5885874661835883,0.07192570769353074,2.7070631144171595
PHT-427,0.5931537395075193,0.05985248292787939,2.2453664757486362
BIRB 796 (Doramapimod),0.5510410681573379,0.03658552188794235,2.821264413416372
AZD8330,0.8935040683768267,0.041046494566834374,7.614456316912333
GSK461364,0.9131905273949611,0.04710037410557601,15.401492455756985
BMS-582949,0.6025231282567536,0.062398811861766865,2.1275823367103017
Mubritinib (TAK 165),0.9153642125401523,0.048429727455482935,8.270773528857841
Volasertib (BI 6727),0.6029576595349175,0.041904784667566544,1.2275203037103104
Axitinib,0.636913017934754,0.05477569126353457,2.4470402682522576
Enzastaurin (LY317615),0.7152886989232706,0.034736190990198076,5.094938023719896
"Dovitinib (TKI-258, CHIR-258)",0.7276806815979537,0.057487892853179096,5.728688794212242
Ruxolitinib (INCB018424),0.5566824328108302,0.0460767496814831,1.5727838894112895
Nilotinib (AMN-107),0.5715748779818861,0.03716793903292583,1.440068057395061
Semagacestat (LY450139),0.6070182462348926,0.0315955737773713,2.11842576949941
"Temsirolimus (CCI-779, NSC 683864)",0.6380851603972004,0.05770698982255242,2.111384490075368
DAPT (GSI-IX),0.6273969509510183,0.04136242032813171,2.721790278311174
Crizotinib (PF-02341066),0.882663360451108,0.03775698140731761,12.658391148388231
ICG-001,0.5333257215775965,0.021927341888889153,1.1411640040586883
Brivanib (BMS-540215),0.6417224216838905,0.03786412971421001,1.3167096286318078
GW788388,0.54040724444088,0.0318435318101928,1.10448207831484
U0126-EtOH,0.6451425745969476,0.04830240000921349,2.686357280655199
S-Ruxolitinib (INCB018424),0.5581954066827699,0.06524248928549602,0.805715864277629
GSK690693,0.8330754278181922,0.04977997508479893,4.937323248259286
SANT-1,0.5544472263580577,0.04985221658807622,0.9010763910884506
Brivanib Alaninate (BMS-582664),0.5296454075658464,0.025902977084666233,1.844186991999173
Ro 31-8220 Mesylate,0.94267460634062,0.02347636349285067,8.34442714010538
CP-724714,0.5809082415043333,0.0485839458622269,2.833785753660539
AR-A014418,0.6983857608496384,0.05095626175544163,3.1504788489608178
ENMD-2076,0.9341091055921901,0.033299188080678555,12.143551360519359
STA-21,0.5591770801910625,0.02917162861156868,0.9559797263940278
Amuvatinib (MP-470),0.6089314666347649,0.10203774116926853,1.9619193068836036
GNE-7915,0.6393560124955748,0.05562137663137439,1.9073188406872688
Genistein,0.5671331565666785,0.050160011046886846,1.1005894862401422
PHA-680632,0.8793300704646232,0.0378365352682405,11.804809498901221
FIIN-2,0.6237706501938897,0.0650796384348685,3.8449841048195177
HMN-214,0.9619387473305865,0.015898057820282863,16.591851848121397
Hesperadin,0.9530563526761121,0.0203046315980703,13.302972678807716
ONO-4059,0.7892975106456057,0.05479298160815584,3.6073209346585307
KRN 633,0.6265843601537728,0.05226799404220056,1.7723935996553148
Tie2 kinase inhibitor,0.6754565485323379,0.06528366920826761,2.8826426619294656
AG-18,0.5617362659160234,0.051845177874893025,2.071028152533482
KW-2449,0.932390288609797,0.02642561278870879,12.530198479821902
R406,0.5855285646445181,0.045340065750463086,2.5892342886333886
AMG 337,0.5721958901631006,0.033348293738834536,1.7407230863947032
PP242,0.9177981282428878,0.0509569778216156,6.614518880877774
Palomid 529 (P529),0.578568433821251,0.06848491710184254,1.5931329928093676
Saracatinib (AZD0530),0.9510819370791086,0.03797878250281216,16.081565750279378
SB431542,0.6466474749468337,0.06310673548840935,1.9908867152418877
PD184352 (CI-1040),0.7612804098406711,0.03827682116459645,3.7632517821292293
Thiazovivin,0.6826200969446449,0.023502082185293184,2.8850751972806274
NVP-AEW541,0.9697459886551245,0.021828996552384305,14.618554907765336
Theophylline,0.5918035019089829,0.04241105627310634,1.5254910086119986
"VX-680 (Tozasertib, MK-0457)",0.8780020392263903,0.03318828572833233,8.934662691590818
CYT387,0.583844870236774,0.030382720794673093,0.8423989580902861
PHA-665752,0.7953219329927188,0.06434804520636248,4.870246513839643
NVP-BSK805 2HCl,0.6834827231545881,0.022888410877467708,3.8321224675424728
"Refametinib (RDEA119, Bay 86-9766)",0.9321912316506396,0.029043726311022075,8.04480898462122
PF-5274857,0.5965781378320172,0.03199058867051778,1.3160719098590714
ZM 447439,0.8198179980035294,0.04622784665085243,7.66511605491744
Pirfenidone,0.5521367681917686,0.02784611333989627,1.5211102244262573
JNJ-38877605,0.6109269294648503,0.06659529455384429,2.441249248109403
KY02111,0.5952812569951603,0.027713170123111495,2.0662474235220643
AG-490 (Tyrphostin B42),0.5551060216214176,0.031906361638913416,2.225449296094632
GF109203X,0.7107746874884441,0.0289458043239192,3.4028139174774674
TGX-221,0.5802815416732268,0.04298298464438371,2.442408887434302
FH535,0.8544568641317729,0.029303629472342798,7.7639606910248276
CUDC-101,0.9700559832512836,0.013497476224274111,16.32464325097024
ZM 39923 HCl,0.5310690044450157,0.0370787017368657,0.6971547465781469
JNJ-7706621,0.884204888837307,0.049797836191098836,8.218220349422138
Decernotinib (VX-509),0.6388117770004984,0.04105451610906725,1.468121569331137
TG100-115,0.5468816585686512,0.04966569973328093,1.4537179117206842
VX-745,0.5594968801615586,0.05628911506335101,2.48040824823909
Bikinin,0.5760250458248201,0.06457609871844963,1.2044449945070281
AEE788 (NVP-AEE788),0.9137173838379686,0.017135405936382714,14.459060394157044
BIX 02188,0.5839727859245979,0.04042193770768741,1.4034900795171859
CC-223,0.8920858189801837,0.06326785247390401,6.228561981042722
AT7867,0.8135614534201085,0.03877196697105677,3.7074819394664895
H 89 2HCl,0.5982967775066688,0.0799728781695036,2.868487478340663
CEP-32496,0.6448271833162391,0.07162626046070143,2.260977050054696
RAF265 (CHIR-265),0.9331289440098972,0.03128532230807462,11.00923729602498
SGI-1776 free base,0.6891532578709614,0.058122428189108746,2.68696922918148
Oclacitinib,0.5730626780245109,0.04268839646524269,1.7020030373809942
Degrasyn (WP1130),0.5818771518922686,0.058472591612458345,1.9364696434985307
Selumetinib (AZD6244),0.7629558540633995,0.05827670228766743,4.43718010679246
SB216763,0.7053728025814403,0.042027316575047706,3.340656276498674
Dasatinib,0.8964194639797493,0.037035890556494595,6.370941800621367
GSK429286A,0.6207391661594708,0.04943501241581346,2.088082073812887
Pazopanib HCl,0.6113397592473724,0.10454504373938765,2.90679879277408
"LDE225 (NVP-LDE225,Erismodegib)",0.5727199853881908,0.038709393809823044,0.8956498443416651
Y-27632 2HCl,0.5892498507732703,0.03303126430810253,1.469865489823413
LY2157299,0.6281180964220114,0.04071993675204369,2.120529110479329
ZSTK474,0.8471105092565827,0.057731936819850525,4.688466267719857
TG101209,0.9405410958748492,0.006095029312608681,12.54721849440378
OSI-906 (Linsitinib),0.8806433380778159,0.03662657754792783,4.29547459304881
"Tofacitinib (CP-690550,Tasocitinib)",0.5982049145944539,0.04817455328843978,1.1181136225277144
GDC-0879,0.5922794585251543,0.05632801354408026,1.6915457284393924
Go 6983,0.7279166808019248,0.04087184692118275,4.384321326784962
Triciribine,0.8188841406770775,0.040556193551973915,5.956305707871372
BMS-833923,0.6553469454544232,0.020686617851343597,3.5389067858876593
SNS-032 (BMS-387032),0.9497216058397198,0.025618156270845356,10.576550751159068
RepSox,0.7258546964864596,0.044051983292518165,4.689227738824383
WZ3146,0.9138808618063669,0.021799691396778675,10.34959436912973
WIKI4,0.574210827549894,0.06465264233145922,1.3889794506701558
Tivozanib (AV-951),0.612079257761355,0.0641085023109063,2.175179994841159
Pacritinib (SB1518),0.9666810077620568,0.006496994606273664,12.834457651540342
CHIR-99021 (CT99021),0.8054783195004307,0.037668437734510674,6.133857655720495
Vacquinol-1,0.8963755495491659,0.05391941210018235,20.764900410157765
MGCD-265,0.5720914901808833,0.04168702998381403,2.149623471012327
BLZ945,0.5970989661880054,0.05996736253612001,1.4190576985155288
PHA-793887,0.6957591033620112,0.06665308638615579,2.5296046785120607
BIX 02189,0.6797251286006738,0.08370250411464025,2.4270674016873137
GSK621,0.580442298074542,0.03373427382836395,1.6794664807483535
BMS-777607,0.5750511269349188,0.07809720836219854,1.4714834918016908
TWS119,0.5346819166819705,0.029393431756597154,0.8903720156932045
AZD5363,0.8842945926776332,0.0378687314364034,4.99976841809525
AZD1480,0.9274625470959732,0.0185012525875397,13.634792162431596
BMS-794833,0.567817263524901,0.05275483089375658,2.374408889476111
BI-78D3,0.6069994875702679,0.05830788640909548,1.3617090088780108
SB590885,0.5811737020280314,0.05132505650892522,2.795315872944065
"BKM120 (NVP-BKM120, Buparlisib)",0.9542800334389806,0.017611354246517424,12.341110095954694
Nintedanib (BIBF 1120)_uncertain,0.6767775278432633,0.05126251072112031,2.6526067028502025
Vismodegib (GDC-0449),0.6303034029535153,0.04460759594238183,1.6100724375897046
"Ridaforolimus (Deforolimus, MK-8669)",0.6730498028345155,0.05470892683358757,3.518013113277576
SB525334,0.5443429804517925,0.05764186232501225,1.2219976460181567
PD0325901,0.923273765041866,0.03324727896007858,9.058879410503428
Taladegib (LY2940680),0.566710147082054,0.029524310990844738,1.328928144524693
Hesperetin,0.5477769647503552,0.042638972212842206,0.8255683261296051
YO-01027,0.6278972615860463,0.050440431613173756,2.546712089107809
Sotrastaurin,0.5900689596672203,0.035925756922260785,1.9515153341184956
LY294002,0.6322717523808877,0.03409213553320998,2.053310467389946
CHIR-99021 (CT99021) HCl,0.7905095925556924,0.0245131008019623,6.282391219335831
"Cabozantinib (XL184, BMS-907351)",0.6369449974034189,0.04676638104781144,2.5635671328868272
LGK-974,0.5304287190362961,0.04032629230828083,1.2693819312702184
Barasertib (AZD1152-HQPA),0.8827656499477123,0.022086779421342986,13.008060171434737
AZD2858,0.9149418310918425,0.020511561199468696,10.239727196222972
CYC116,0.8771853690590582,0.03497108094712587,8.710229973591463
HO-3867,0.5755604317985012,0.041732032974770704,1.9267852929386744
YM201636,0.7847969043364671,0.04548559195779688,4.518481767677259
Wnt agonist 1,0.9340297029555051,0.019476031685727827,12.197700100734634
