,AUC_Mean,AUC_Std,Distance,PValue
Linifanib (ABT-869),0.7832283625465444,0.08491241398609826,4.97694105692392,0.000999000999000999
Y-27632 2HCl,0.595321343387101,0.05176161973252051,2.6729812099273853,0.001998001998001998
Cediranib (AZD2171),0.7964369002038685,0.0745092826377889,4.372455797780267,0.000999000999000999
Avagacestat (BMS-708163),0.7162936537816404,0.06227347330249048,3.6668109724314797,0.000999000999000999
Motesanib Diphosphate (AMG-706),0.8197467925592926,0.10919747650060278,4.695044678880242,0.000999000999000999
TWS119,0.6001015692322874,0.04318244803709107,2.2384160683407823,0.001998001998001998
Sunitinib Malate,0.7092244149766774,0.08621198128153645,5.088072606962447,0.000999000999000999
AZ 960,0.9142681321610114,0.0352972113192971,8.486534188303132,0.000999000999000999
SL-327,0.6681038462542987,0.10551176454852709,1.842441471605265,0.001998001998001998
MK-0752,0.6651282334930511,0.06686153189886178,2.0281628674768477,0.000999000999000999
SU11274,0.7137702738438033,0.0887185237106873,4.428954586718346,0.000999000999000999
CHIR-98014,0.9814777876248758,0.021704254151076015,12.378900585675666,0.000999000999000999
Vatalanib (PTK787) 2HCl,0.6444084271686081,0.12391836896392978,2.581721135054066,0.02197802197802198
WHI-P154,0.5465649250597695,0.05860955537583174,2.1110000691045414,0.6303696303696303
Foretinib (GSK1363089),0.9308347902097903,0.05468896101677175,7.427994875420291,0.000999000999000999
IWR-1-endo,0.6243202260424898,0.05958063498962404,2.391294669402158,0.000999000999000999
AT9283,0.9955753001270079,0.006037424716456383,19.464233680959953,0.000999000999000999
BIO,0.7799809290409673,0.06643236321912435,3.5380794848804173,0.000999000999000999
Lenvatinib (E7080),0.7096094461094461,0.11788182122089601,5.029925924436216,0.000999000999000999
K02288,0.709437461358567,0.0662155543409847,2.6486510478371583,0.000999000999000999
WZ8040,0.7147342281901106,0.11307155352711115,3.8129452438671896,0.001998001998001998
Filgotinib (GLPG0634),0.7241227198891222,0.052170996877912525,2.2053786322890243,0.000999000999000999
DMSO,0.5072990064594007,0.007239535963443154,0.0,0.24075924075924077
AG-1024,0.894730034671211,0.04686636201346056,5.681740184146341,0.000999000999000999
GNF-5,0.7067550408311793,0.06694197563539914,2.162002206225978,0.000999000999000999
BX-912,0.7878559416464771,0.16630622787782684,4.7455550920197025,0.000999000999000999
Aurora A Inhibitor I,0.8095683929933155,0.0759749869608902,4.58811417333069,0.000999000999000999
VX-11e,0.9463180916305916,0.050523327709080725,14.133995457263266,0.000999000999000999
Pimasertib (AS-703026),0.9794675694675694,0.03109625877302688,19.8489783644045,0.000999000999000999
Quizartinib (AC220),0.8355128871349111,0.07662384144079551,4.557047113813629,0.000999000999000999
LJI308,0.5575446508619585,0.11246334664481676,2.7986195916044148,0.8561438561438561
PHT-427,0.6786768006866046,0.051563798837388784,3.263280674532836,0.001998001998001998
