,AUC_Mean,AUC_Std,Distance,PValue
Linifanib (ABT-869),0.8097671619817518,0.08954349417279754,5.732965603771079,0.000999000999000999
Y-27632 2HCl,0.588061746697869,0.045205573293041736,1.025110896411572,0.002997002997002997
Cediranib (AZD2171),0.7467142880354417,0.07734000345838928,4.707613421931104,0.000999000999000999
Avagacestat (BMS-708163),0.7639886163466967,0.03634010079537891,3.7648146790040395,0.000999000999000999
Motesanib Diphosphate (AMG-706),0.8297658220864103,0.0855858373405973,4.920708296363043,0.000999000999000999
TWS119,0.632933207444579,0.05704088852553251,2.0586185344566057,0.000999000999000999
Sunitinib Malate,0.7356180003820777,0.08405647293291757,3.8025801504051544,0.000999000999000999
AZ 960,0.7612454032908442,0.05659623713793739,3.6348610098050327,0.000999000999000999
SL-327,0.754622960930555,0.09241907174944258,4.043818601126058,0.000999000999000999
MK-0752,0.7009730116026535,0.04745049260565363,2.3095481800503825,0.000999000999000999
SU11274,0.8334390801345688,0.04961449954880222,6.730321052976543,0.000999000999000999
CHIR-98014,0.9439005704803215,0.03284087857766713,10.144168792126765,0.000999000999000999
Vatalanib (PTK787) 2HCl,0.7218257595231279,0.07702144283252145,3.464402379328027,0.000999000999000999
WHI-P154,0.6130448876784645,0.06808408282127053,1.2255008026877,0.000999000999000999
Foretinib (GSK1363089),0.9103011959535277,0.07312729210573574,7.494440390137285,0.000999000999000999
IWR-1-endo,0.5646908446053597,0.03744368049734299,2.239389278150901,0.2057942057942058
AT9283,0.980341998890386,0.015270542987620006,19.16947469229724,0.000999000999000999
BIO,0.7966414328901645,0.03588022948987539,4.4206121694663745,0.000999000999000999
Lenvatinib (E7080),0.7163259928710779,0.08804784354967374,4.007713524774332,0.000999000999000999
K02288,0.7007035775581297,0.06678842796421797,2.2987218436204673,0.000999000999000999
WZ8040,0.6097550954713762,0.10009185562854547,3.016610101153541,0.04195804195804196
Filgotinib (GLPG0634),0.6923374150761857,0.058783186661677964,2.9052245197853583,0.000999000999000999
DMSO,0.5045529317056968,0.003585646000512658,0.0,0.6383616383616384
AG-1024,0.9323314085402901,0.03934873276994729,5.473087023240984,0.000999000999000999
GNF-5,0.7287816952344781,0.04753478195375745,3.4136692315692767,0.000999000999000999
BX-912,0.8330618121374425,0.07072837145342939,6.115482028127244,0.000999000999000999
Aurora A Inhibitor I,0.8519474285926492,0.04962827214277594,5.591226466565636,0.000999000999000999
VX-11e,0.9737097007930341,0.024205963050594317,14.958839792973187,0.000999000999000999
Pimasertib (AS-703026),0.980361074111074,0.026783726000772664,21.750812056973782,0.000999000999000999
Quizartinib (AC220),0.8011301729316436,0.06457525937800518,7.077183653488446,0.000999000999000999
LJI308,0.6106892230576441,0.048358830133224284,2.1943375722034744,0.08791208791208792
