Product.Name,Concentration,Plate.ID,Well.ID,Num.Objects,Percent.Dead,Percent.Live,Mean.Certainty.Live,Mean.Certainty.Dead
Linifanib (ABT-869),nan,D022T01P001L02,A01,243,0.02880658436213992,0.9711934156378601,0.8250000000000011,0.6857142857142857
Y-27632 2HCl,nan,D022T01P001L02,A02,206,0.038834951456310676,0.9611650485436893,0.8419191919191926,0.6375
Cediranib (AZD2171),nan,D022T01P001L02,A03,188,0.26063829787234044,0.7393617021276595,0.7086330935251803,0.7122448979591839
Avagacestat (BMS-708163),nan,D022T01P001L02,A04,206,0.06310679611650485,0.9368932038834952,0.8077720207253891,0.6769230769230768
Motesanib Diphosphate (AMG-706),nan,D022T01P001L02,A05,197,0.09644670050761421,0.9035532994923858,0.777528089887641,0.6578947368421051
TWS119,nan,D022T01P001L02,A06,206,0.05825242718446602,0.941747572815534,0.8381443298969082,0.6833333333333332
Sunitinib Malate,nan,D022T01P001L02,A07,220,0.3090909090909091,0.6909090909090909,0.7092105263157895,0.6897058823529415
AZ 960,nan,D022T01P001L02,A08,196,0.07142857142857142,0.9285714285714286,0.834615384615385,0.6357142857142856
SL-327,nan,D022T01P001L02,A09,254,0.1220472440944882,0.8779527559055118,0.7995515695067271,0.6677419354838711
MK-0752,nan,D022T01P001L02,A10,268,0.04477611940298507,0.9552238805970149,0.8246093750000011,0.65
SU11274,nan,D022T01P001L02,A11,208,0.04807692307692308,0.9519230769230769,0.8141414141414149,0.65
CHIR-98014,nan,D022T01P001L02,A12,265,0.2490566037735849,0.7509433962264151,0.7090452261306529,0.7272727272727273
Vatalanib (PTK787) 2HCl,nan,D022T01P001L02,A13,269,0.04460966542750929,0.9553903345724907,0.8268482490272385,0.7083333333333334
WHI-P154,nan,D022T01P001L02,A14,264,0.08333333333333333,0.9166666666666666,0.8384297520661165,0.677272727272727
Foretinib (GSK1363089),nan,D022T01P001L02,A15,245,0.07346938775510205,0.926530612244898,0.7682819383259911,0.661111111111111
IWR-1-endo,nan,D022T01P001L02,A16,183,0.0546448087431694,0.9453551912568307,0.8381502890173417,0.5999999999999999
AT9283,nan,D022T01P001L02,A17,288,0.9166666666666666,0.08333333333333337,0.5416666666666666,0.8151515151515161
BIO,nan,D022T01P001L02,A18,216,0.1574074074074074,0.8425925925925926,0.7247252747252749,0.6823529411764708
Lenvatinib (E7080),nan,D022T01P001L02,A19,210,0.02857142857142857,0.9714285714285714,0.8049019607843144,0.6833333333333332
K02288,nan,D022T01P001L02,A20,231,0.030303030303030304,0.9696969696969697,0.8348214285714297,0.7000000000000001
WZ8040,nan,D022T01P001L02,A21,213,0.023474178403755867,0.9765258215962441,0.869711538461539,0.7
Filgotinib (GLPG0634),nan,D022T01P001L02,A22,221,0.03619909502262444,0.9638009049773756,0.8159624413145548,0.6375
DMSO,nan,D022T01P001L02,A23,207,0.043478260869565216,0.9565217391304348,0.8328282828282839,0.6777777777777777
DMSO,nan,D022T01P001L02,A24,208,0.04807692307692308,0.9519230769230769,0.8611111111111119,0.66
AG-1024,nan,D022T01P001L02,B01,221,0.09954751131221719,0.9004524886877828,0.8,0.668181818181818
GNF-5,nan,D022T01P001L02,B02,199,0.10050251256281408,0.8994974874371859,0.8111731843575422,0.6599999999999999
BX-912,nan,D022T01P001L02,B03,182,0.21428571428571427,0.7857142857142857,0.6657342657342655,0.7051282051282053
DMSO,nan,D022T01P001L02,B04,188,0.03723404255319149,0.9627659574468085,0.8486187845303875,0.6714285714285715
Aurora A Inhibitor I,nan,D022T01P001L02,B05,153,0.3464052287581699,0.6535947712418301,0.6180000000000004,0.7339622641509437
VX-11e,nan,D022T01P001L02,B06,224,0.25892857142857145,0.7410714285714286,0.6873493975903611,0.68448275862069
Pimasertib (AS-703026),nan,D022T01P001L02,B07,261,0.6091954022988506,0.3908045977011494,0.6009803921568632,0.7031446540880506
DMSO,nan,D022T01P001L02,B08,194,0.05670103092783505,0.9432989690721649,0.82568306010929,0.6363636363636362
Quizartinib (AC220),nan,D022T01P001L02,B09,227,0.19823788546255505,0.801762114537445,0.6950549450549448,0.7155555555555556
LJI308,nan,D022T01P001L02,B10,215,0.03255813953488372,0.9674418604651163,0.8360576923076924,0.6571428571428571
PHT-427,nan,D022T01P001L02,B11,245,0.04081632653061224,0.9591836734693877,0.8514893617021284,0.6699999999999999
DMSO,nan,D022T01P001L02,B12,217,0.03686635944700461,0.9631336405529954,0.8267942583732065,0.625
BIRB 796 (Doramapimod),nan,D022T01P001L02,B13,195,0.05641025641025641,0.9435897435897436,0.8081521739130436,0.6454545454545454
VE-821,nan,D022T01P001L02,B14,219,0.0684931506849315,0.9315068493150684,0.835294117647059,0.6533333333333331
AZD8330,nan,D022T01P001L02,B15,253,0.4150197628458498,0.5849802371541502,0.659459459459459,0.7085714285714291
